"desig","details","org","loc","keyskills","date","expLow","expHigh","salLow","job"
"Technical Recruiter US IT Staffing (night Shift)- Noida","Technical Recruiter US IT Staffing (night Shift)- Noida","FCS Software Solutions Limited","Noida(Sector-57 Noida)","IT Recruitment- Technical Recruitment- US Staffing- Screening...","2018-04-05",1.0,3.0,250000.0,"IT"
"Sr IT Recruiter Opening with Maven IT sol India Pvt ltd","Sr IT Recruiter Opening with Maven IT sol India Pvt ltd","Maven IT Solutions (India) Pvt. Ltd.","Delhi NCR(Vaishali)- Ghaziabad","it recruitment- screening- sourcing- hiring- employee referral","2018-04-05",1.0,5.0,0.0,"IT"
"US IT Technical Recruiter","US IT Technical Recruiter","Cogent Data Solutions LLC","Hyderabad","Technical Recruitment- W2- Dice- US Recruitment- Sourcing- Interviewing...","2018-04-05",1.0,3.0,0.0,"IT"
"Looking for US IT Bench Sales Recruiters","Looking for US IT Bench Sales Recruiters","HSK IT Solutions India Pvt. Ltd.","Hyderabad","us it recruitment- h1b- bench sales- ead- h1 transfer- C2C- corp - corp","2018-04-05",2.0,6.0,0.0,"IT"
"Technical Lead - Sharepoint MENA IT SD","Technical Lead - Sharepoint MENA IT SD","EYGBS (India) Private Limited","Kochi- Trivandrum","Javascript- Bootstrap- JQuery- Sharepoint Designer- SQL Server- Rest...","2018-04-05",10.0,15.0,0.0,"IT"
"BDE for US Market - Stravis IT Solutions","BDE for US Market - Stravis IT Solutions","StraVis IT Solutions Pvt. Ltd.","Hyderabad","Sales Account- Cold Calling- Prospecting- Bde- Presales- Account Management...","2018-04-05",0.0,2.0,0.0,"IT"
"IT Recruiter for APAC & EMEA Region","IT Recruiter for APAC & EMEA Region","ValueLabs LLP","Hyderabad","apac- EMEA- middle east- APAC Hiring- apac recruitment...","2018-04-05",3.0,6.0,0.0,"IT"
"Content Writer  - IT / Software -  NSEZ  Noida","Content Writer  - IT / Software -  NSEZ  Noida","ProProfs.com","Delhi NCR- Noida","content writer-  content writing-  articles-  blogs-  proof reading...","2018-04-05",1.0,3.0,0.0,"IT"
"Looking for Freshers NON IT - (night Shifts)","Looking for Freshers NON IT - (night Shifts)","Cogent Data Solutions LLC","Hyderabad(Madhapur)","Linkedin- Client Interaction- Social Media- Communication Skills...","2018-04-05",0.0,0.0,100000.0,"IT"
"Sr. IT Recruiter","Sr. IT Recruiter","Opteamix India Business Solutions Private Limited society","Bengaluru","Technical Recruitment- IT Recruitment- HR- Sourcing- Interviewing- Staffing...","2018-04-05",4.0,6.0,0.0,"IT"
