link, desig, details, org, loc, exp, keyskills, descl, salary, date, expLow, expHigh, salLow, salHigh 
https://www.naukri.com/job-listings-Data-Scientist-R-Statistical-Modelling-IIT-NIT-Kafal-Software-Delhi-NCR-4-to-9-years-030418901306?src=jobsearchDesk&sid=15229212699069&xp=1&px=1,Data Scientist - R/ Statistical Modelling - IIT/ NIT,Data Scientist - R/ Statistical Modelling - IIT/ NIT,Kafal Software,Delhi NCR,4-9 yrs,Data Analysis- Data Mining- R- Statistical Modeling- Machine Learning...,Data Scientist - R/Statistical Modelling - IIT/NIT (4-9 yrs)  Job Description  The role ...,Not disclosed,2018-04-05,4,9,0,0
https://www.naukri.com/job-listings-Data-Scientist-R-Python-Yantriks-Bengaluru-2-to-7-years-030418901379?src=jobsearchDesk&sid=15229212699069&xp=2&px=1,Data Scientist - R/ Python,Data Scientist - R/ Python,Yantriks,Bengaluru,2-7 yrs,Machine Learning- Python- R- MATLAB- SQL- Multivariate Analysis...,Data Scientist - R/Python (2-7 yrs)  DESCRIPTION :  - As a Data Scientist at Yantriks- ...,Not disclosed,2018-04-05,2,7,0,0
https://www.naukri.com/job-listings-Junior-Data-Scientists-INNOVIZANT-ANALYTICS-PRIVATE-LIMITED-Noida-0-to-3-years-150318005542?src=jobsearchDesk&sid=15229212699069&xp=3&px=1,Junior Data Scientists,Junior Data Scientists,INNOVIZANT ANALYTICS PRIVATE LIMITED,Noida,0-3 yrs,data science- predictive modeling- machine learning- python...,We are looking for Data Scientists with 0-3 years of experience in Data Science / Machine Learning / ...,Not disclosed,2018-04-05,0,3,0,0
https://www.naukri.com/job-listings-Lead-Data-Scientist-R-python-Predictive-Modelling-TransOrg-Analytics-Mumbai-5-to-8-years-040418900676?src=jobsearchDesk&sid=15229212699069&xp=4&px=1,Lead - Data Scientist - R/python & Predictive Modelling,Lead - Data Scientist - R/python & Predictive Modelling,TransOrg Analytics,Mumbai,5-8 yrs,SAS SQL- R- Predictive Modeling- Logistic Regression- Data Analysis..., Overview    Analyze & interpret data and communicate results to clients- often with ...,Not disclosed,2018-04-05,5,8,0,0
https://www.naukri.com/job-listings-Data-Scientists-Analysts-BSM-Big-Social-Media-Bhopal-4-to-5-years-050418900585?src=jobsearchDesk&sid=15229212699069&xp=5&px=1,Data Scientists / Analysts,Data Scientists / Analysts,BSM Big Social Media,Bhopal,4-5 yrs,data analysis- big data- big data analysis- research analyst- analysts...,1. Should be able to do big data analysis. 2. Should be able to understand numbers- should be able ...,Not disclosed,2018-04-05,4,5,0,0
https://www.naukri.com/job-listings-Data-Scientist-Larsen-Toubro-Infotech-Limited-Ghaziabad-5-to-8-years-040418900809?src=jobsearchDesk&sid=15229212699069&xp=6&px=1,Data Scientist,Data Scientist,Larsen & Toubro Infotech Limited,Ghaziabad,5-8 yrs,r- hadoop- sas- hive- cluster analysis- advanced excel- ms sql- statistical..., ,Not disclosed,2018-04-04,5,8,0,0
https://www.naukri.com/job-listings-Data-Scientist-Data-Analyst-2-5-Years-Experience-Wolters-Kluwer-India-Pvt-Ltd-Pune-Kalyani-Nagar-2-to-6-years-030418006827?src=jobsearchDesk&sid=15229212699069&xp=7&px=1,Data Scientist / Data Analyst 2-5 Years Experience,Data Scientist / Data Analyst 2-5 Years Experience,Wolters Kluwer India Pvt Ltd,Pune(Kalyani Nagar),2-6 yrs,ML- Machine Learning- data science- algorithms- Linear Regression..., Education:   Bachelors/ Master's degree- preferably in Computer Science- Mathematics- ...,Not disclosed,2018-04-05,2,6,0,0
https://www.naukri.com/job-listings-Data-Scientist-Confidential-Bengaluru-2-to-7-years-170717902169?src=jobsearchDesk&sid=15229212699069&xp=8&px=1,Data Scientist,Data Scientist,Confidential,Bengaluru,2-7 yrs,Underwriting- Risk management- SAS- SQL- Business Analyst...,    Responsibility:     Work with Modeling teams and LoB actuary teams to validate and ...,Not disclosed,2018-04-05,2,7,0,0
https://www.naukri.com/job-listings-Data-Scientist-mumbai-Client-Of-Sampoorna-Mumbai-3-to-8-years-050418900146?src=jobsearchDesk&sid=15229212699069&xp=9&px=1,Data Scientist - (mumbai),Data Scientist - (mumbai),Client Of Sampoorna,Mumbai,3-8 yrs,Machine Learning- Artificial Intelligence- Data Science...,Our client is looking for candidates for Data Scientist role .     Desired candidate should have ...,Not disclosed,2018-04-05,3,8,0,0
https://www.naukri.com/job-listings-Data-Scientist-Confidential-Bengaluru-2-to-5-years-120617901827?src=jobsearchDesk&sid=15229212699069&xp=10&px=1,Data Scientist,Data Scientist,Confidential,Bengaluru,2-5 yrs,Underwriting- Risk management- SAS- SQL- Business Analyst...,    Responsibility:    Work with Modeling teams and LoB actuary teams to validate and ...,Not disclosed,2018-04-05,2,5,0,0
