link, desig, details, org, loc, exp, keyskills, descl, salary, date, expLow, expHigh, salLow, salHigh 
https://www.naukri.com/job-listings-Marketing-Trainee-M-s-VRG-DIGITAL-CORPORATION-PVT-LTD-Mumbai-0-to-1-years-290318005699?src=jobsearchDesk&sid=15229204625036&xp=1&px=1,Marketing Trainee,Marketing Trainee,M/s VRG DIGITAL CORPORATION PVT. LTD.,Mumbai,0-1 yrs,Client Servicing- Sales- business development- marketing,1.	Undertaking marketing research so that consumers can be targeted easily- this should be done by ...,Not disclosed,2018-04-05,0,1,0,0
https://www.naukri.com/job-listings-Head-International-Sales-Marketing-Optical-Fibre-Manufacturing-Mynd-Solutions-Pvt-Ltd-Delhi-NCR-7-to-12-years-030418901223?src=jobsearchDesk&sid=15229204625036&xp=2&px=1,Head - International Sales & Marketing - Optical Fibre Manufacturing,Head - International Sales & Marketing - Optical Fibre Manufacturing,Â Mynd Solutions Pvt. Ltd.,Delhi NCR,7-12 yrs,international sales- business development- marketing...,Head - International Sales & Marketing - Optical Fibre Manufacturing (7-15 yrs)  Client ...,Not disclosed,2018-04-05,7,12,0,0
https://www.naukri.com/job-listings-Opening-Kotak-Life-Insurance-for-Direct-Marketing-Delhi-Kotak-Mahindra-Life-Insurance-Company-Limited-Delhi-Delhi-NCR-1-to-6-years-260318000550?src=jobsearchDesk&sid=15229204625036&xp=3&px=1,Opening @ Kotak Life Insurance for Direct Marketing - Delhi,Opening @ Kotak Life Insurance for Direct Marketing - Delhi,Kotak Mahindra Life Insurance Company Limited.,Delhi- Delhi NCR,1-6 yrs,Sales Presentations- Business Development- Direct Marketing- New Business...,Greetings from Kotak Life Insurance!!   Job Description for Direct marketing  Job ...,100000 - 400000 P.A.,2018-04-05,1,6,100000,400000
https://www.naukri.com/job-listings-Digital-Marketer-Franchise-Alpha-Delhi-NCR-Mumbai-Bengaluru-3-to-6-years-050418900342?src=jobsearchDesk&sid=15229204625036&xp=4&px=1,Digital Marketer,Digital Marketer,Franchise Alpha,Delhi NCR- Mumbai- Bengaluru,3-6 yrs,SEM- Digital Marketing- SEO- Display Advertising- Social Media...,Digital Marketing Manager Responsibilities Include:  - Planning Web- SEO/SEM- email- social ...,Not disclosed,2018-04-05,3,6,0,0
https://www.naukri.com/job-listings-Digital-Marketing-Manager-Agritradex-Commodities-India-Pvt-Ltd-Mumbai-Mumbai-Central-2-to-5-years-050418003524?src=jobsearchDesk&sid=15229204625036&xp=5&px=1,Digital Marketing Manager,Digital Marketing Manager,Agritradex Commodities India Pvt Ltd,Mumbai(Mumbai Central),2-5 yrs,Marketing Management- Sales- B2B- Digital Marketing...,1. Sell B2B digital service platform to existing off line and potential new clients 2. Follow up ...,250000 - 400000 P.A. Large component of performance...,2018-04-05,2,5,250000,400000
https://www.naukri.com/job-listings-Lead-Marketing-Programs-Manager-BMC-Software-India-Pvt-Ltd-Bengaluru-7-to-11-years-040418900785?src=jobsearchDesk&sid=15229204625036&xp=6&px=1,Lead Marketing Programs Manager,Lead Marketing Programs Manager,BMC Software India Pvt. Ltd,Bengaluru,7-11 yrs,Marketing- Marketing Programs Mgr- PR- event management- sales...,This position will report to the Head of GOSI {Global Outsourcers and Systems Integrators] Marketing. ...,Not disclosed,2018-04-05,7,11,0,0
https://www.naukri.com/job-listings-Trainee-Marketing-Officer-Commercial-Vehicle-Loans-Sakthi-Finance-Ltd-Mangalore-Alappuzha-Kochi-Kannur-Kottayam-Kozhikode-Thrissur-Ernakulam-Kerala-Towns-0-to-1-years-050418001822?src=jobsearchDesk&sid=15229204625036&xp=7&px=1,Trainee Marketing Officer - Commercial Vehicle Loans,Trainee Marketing Officer - Commercial Vehicle Loans,Sakthi Finance Ltd,Mangalore- Alappuzha- Kochi- Kannur- Kottayam- Kozhikode- Thrissur- Ernakulam- Kerala Towns,0-1 yrs,Sales- Collections- Commercial Vehicle Loans- Customer Service- Marketing..., ,150000 - 250000 P.A.,2018-04-05,0,1,150000,250000
https://www.naukri.com/job-listings-Digital-Marketing-Manager-Faasos-Mumbai-2-to-6-years-040418900226?src=jobsearchDesk&sid=15229204625036&xp=8&px=1,Digital Marketing Manager,Digital Marketing Manager,Faasos,Mumbai,2-6 yrs,Digital Marketing- SEO- Social Media Marketing- Online Marketing- SEM- PPC-..., Key Responsibilities : -   - Managing SEM/ SEO/ Social Media Marketing budgets and Daily/ ...,Not disclosed,2018-04-05,2,6,0,0
https://www.naukri.com/job-listings-Urgently-Hiring-Digital-Marketing-Executive-and-IT-Sales-Executive-Atechnocrat-Web-Solutions-PVT-LTD-Delhi-NCR-Preet-Vihar-1-to-3-years-050418001459?src=jobsearchDesk&sid=15229204625036&xp=9&px=1,Urgently Hiring Digital Marketing Executive and IT Sales Executive,Urgently Hiring Digital Marketing Executive and IT Sales Executive,Atechnocrat Web Solutions PVT LTD,Delhi NCR(Preet Vihar),1-3 yrs,it sales- business development- digital marketing..., We are looking for an Experienced Digital Marketing Executive and Business Development Executive/ IT ...,Not disclosed,2018-04-05,1,3,0,0
https://www.naukri.com/job-listings-Senior-Associate-Brand-Marketing-and-Communications-EYGBS-India-Private-Limited-Bengaluru-6-to-10-years-030418901336?src=jobsearchDesk&sid=15229204625036&xp=10&px=1,Senior Associate - Brand Marketing and Communications,Senior Associate - Brand Marketing and Communications,EYGBS (India) Private Limited,Bengaluru,6-10 yrs,Brand Marketing- Global Marketing- Marketing Communication- Campaigns..., Job Description   The Communications Lead Executive will provide a range of ...,Not disclosed,2018-04-05,6,10,0,0
