link, desig, details, org, loc, exp, keyskills, descl, salary, date, expLow, expHigh, salLow, salHigh 
https://www.naukri.com/job-listings-Web-Developer-Cemetrix-Inc-Mysore-3-to-7-years-040418900370?src=jobsearchDesk&sid=15229209526688&xp=1&px=1,Web Developer,Web Developer,Cemetrix Inc.,Mysore,3-7 yrs,css- html- javascript- jquery- wordpress- bootstrap- web development..., TECHNOLOGY SKILLS:    Html / Html5- CSS/CSS3- Responsive Web Design- Javascript and JQuery- ...,Not disclosed,05-04-18,3,7,0,0
https://www.naukri.com/job-listings-Senior-Web-Developer-PHP-Mysql-BiznusSoft-Solutions-Hyderabad-4-to-6-years-030418901221?src=jobsearchDesk&sid=15229209526688&xp=2&px=1,Senior Web Developer - PHP/ Mysql,Senior Web Developer - PHP/ Mysql,BiznusSoft Solutions,Hyderabad,4-6 yrs,Javascript- PHP- MySQL- Web Application Development- Bootstrap- MS SQL- Web...,Senior Web Developer - PHP/MySQL (4-6 yrs)  - Candidate should have at least 4+ years of strong ...,Not disclosed,05-04-18,4,6,0,0
https://www.naukri.com/job-listings-Senior-Web-Developer-Lamp-php-Chennai-5-to-6-years-040418900817?src=jobsearchDesk&sid=15229209526688&xp=3&px=1,Senior Web Developer - Lamp/php,Senior Web Developer - Lamp/php,Premium,Chennai,5-6 yrs,Javascript- HTML- Smarty- MySQL- JQuery- Core PHP- Laravel- Zend- LAMP- Web...,1. Minimum 5-6 years of web development experience using LAMP technologies. The candidate's main focus ...,Not disclosed,05-04-18,5,6,0,0
https://www.naukri.com/job-listings-Full-Stack-Web-Developer-Connecting-Right-Dots-Pune-3-to-6-years-030418900918?src=jobsearchDesk&sid=15229209526688&xp=4&px=1,Full Stack Web Developer,Full Stack Web Developer,Connecting Right Dots,Pune,3-6 yrs,CSS- Javascript- Photoshop- HTML- Web Development- MySQL- JQuery..., Job Description     We are seeking to recruit a Full Stack Web developer- who ...,Not disclosed,04-04-18,3,6,0,0
https://www.naukri.com/job-listings-Full-Stack-Web-Developer-angular-PHP-Html5-Developer-Needed-Confidential-Mumbai-2-to-5-years-050418001540?src=jobsearchDesk&sid=15229209526688&xp=5&px=1,Full Stack Web Developer (angular + PHP+ Html5) Developer Needed,Full Stack Web Developer (angular + PHP+ Html5) Developer Needed,Confidential,Mumbai,2-5 yrs,PHP- JQuery- Javascript- MySQL- Codeigniter- Zend Framework- Html5..., ,250000 - 600000 P.A.,05-04-18,2,5,250000,600000
https://www.naukri.com/job-listings-Web-Developer-with-Photoshop-Skill-Indegene-Private-Limited-Bengaluru-2-to-4-years-040418002004?src=jobsearchDesk&sid=15229209526688&xp=6&px=1,Web Developer with Photoshop Skill,Web Developer with Photoshop Skill,Indegene Private Limited,Bengaluru,2-4 yrs,Javascript- Bootstrap- Html5- JQuery- Web Development- Web Designing...,  Job Description: Web Developer (Walk-In 24-03-18)       Job Summary: ...,300000 - 500000 P.A.,04-04-18,2,4,300000,500000
https://www.naukri.com/job-listings-Web-Developer-DAP-E-nnovative-Solutions-Pvt-Ltd-Bengaluru-Anand-Nagar-2-to-4-years-030418006647?src=jobsearchDesk&sid=15229209526688&xp=7&px=1,Web Developer,Web Developer,DAP E-nnovative Solutions Pvt Ltd,Bengaluru(Anand Nagar),2-4 yrs,Web Development- Web Technologies- Web Designing- Web Designer..., ,Not disclosed,05-04-18,2,4,0,0
https://www.naukri.com/job-listings-Dot-Net-Developer-Web-Windows-Application-BiznusSoft-Solutions-Hyderabad-3-to-4-years-030418901220?src=jobsearchDesk&sid=15229209526688&xp=8&px=1,Dot Net Developer - Web & Windows Application,Dot Net Developer - Web & Windows Application,BiznusSoft Solutions,Hyderabad,3-4 yrs,ASP.Net- SQL Server- WCF- Windows Application- Azure- Web Services- .Net...,Dot Net Developer - Web & Windows Application (3-4 yrs)  - Dot Net developer with a strong ...,Not disclosed,05-04-18,3,4,0,0
https://www.naukri.com/job-listings-UI-Developer-HTML-Developer-Web-Designer-UNM-VENTURES-Noida-Sector-45-Noida-4-to-8-years-040418009239?src=jobsearchDesk&sid=15229209526688&xp=9&px=1,UI Developer | HTML Developer | Web Designer,UI Developer | HTML Developer | Web Designer,UNM VENTURES,Noida(Sector-45 Noida),4-8 yrs,CSS- Javascript- HTML- Wordpress- Magento- Bootstrap- UI Development...,Job Location: Noida-Sector-45 Position Type: Full Time Exp Level: 5.0 Years - 8.0 Years ...,350000 - 500000 P.A.,04-04-18,4,8,350000,500000
https://www.naukri.com/job-listings-Webinar-Web-Developer-Project-Management-adobe-Connect-Accenture-Solutions-Pvt-Ltd-Mumbai-4-to-9-years-030418002028?src=jobsearchDesk&sid=15229209526688&xp=10&px=1,Webinar - Web Developer - Project Management (adobe Connect),Webinar - Web Developer - Project Management (adobe Connect),Accenture Solutions Pvt Ltd,Mumbai,4-9 yrs,HTML- CSS- Javascript- Web Development- Web Technologies- Quality Standards..., ,Not disclosed,03-04-18,4,9,0,0
